Date,Open,High,Low,Close,Volume,Adj Close
1999-05-04,76.0,77.25,70.0,70.375,22320900,60.164322
1999-05-05,69.875,69.875,66.25,69.125,7565700,59.095684
1999-05-06,68.0,69.375,67.0625,67.9375,2905700,58.080478
1999-05-07,67.9375,74.875,66.75,74.125,4862300,63.370236
1999-05-10,73.375,73.5,70.25,70.6875,2589400,60.431481000000005
1999-05-11,70.0,71.1875,69.5,70.625,1839800,60.378049
1999-05-12,71.0,74.875,69.125,73.5,2659300,62.835917
1999-05-13,73.25,75.25,72.5,73.1875,1142900,62.568757
1999-05-14,71.25,72.25,69.0625,70.1875,2058400,60.004026
1999-05-17,69.125,70.25,68.0,68.625,2075000,58.668228000000006
1999-05-18,68.25,70.4375,68.125,68.625,1407100,58.668228000000006
1999-05-19,69.375,69.8125,68.75,69.3125,727400,59.255979
1999-05-20,69.5625,70.125,68.375,68.375,520800,58.454501
1999-05-21,68.125,68.8125,67.5,67.5,936200,57.706454
1999-05-24,67.0,67.25,65.0,65.3125,1493000,55.836338
1999-05-25,64.125,65.9375,64.0,64.5,1662400,55.141723
1999-05-26,65.625,66.625,63.0625,66.0625,1602900,56.47752
1999-05-27,65.0,67.75,64.6875,67.75,1220500,57.920182
1999-05-28,67.75,68.8125,67.0,67.9375,901900,58.080478
1999-06-01,66.625,66.625,63.5625,64.1875,953900,54.874563
1999-06-02,63.75,64.0625,62.0,63.25,2204300,54.073085
1999-06-03,64.0,64.1875,63.125,63.625,852600,54.393676
1999-06-04,64.3125,67.0,64.3125,65.375,1357400,55.88977
1999-06-07,65.1875,67.75,65.1875,65.9375,891900,56.370656999999994
1999-06-08,65.375,65.6875,63.75,63.75,571700,54.50054
1999-06-09,64.25,65.5,63.625,65.5,611400,55.996632999999996
1999-06-10,64.875,64.9375,63.3125,63.375,664200,54.179949
1999-06-11,63.9375,64.3125,62.3125,63.25,969300,54.073085
1999-06-14,63.5,64.0,60.5,61.25,821100,52.363264
1999-06-15,62.875,63.375,62.25,62.75,831700,53.645630000000004
1999-06-16,63.9375,65.4375,63.9375,65.25,690300,55.782906000000004
1999-06-17,64.5,66.875,64.5,65.0,955700,55.569178
1999-06-18,64.25,64.875,63.5,64.8125,613900,55.408882
1999-06-21,66.6875,69.9375,66.5625,69.5,1811000,59.416275
1999-06-22,70.125,70.125,67.75,68.0,1165900,58.133908999999996
1999-06-23,67.0625,67.4375,64.875,65.0,1351700,55.569178
1999-06-24,66.0625,66.5,64.5,65.0625,1408900,55.622609999999995
1999-06-25,65.5,66.8125,65.375,66.25,1111500,56.637816
1999-06-28,66.4375,67.5,65.75,66.5625,784600,56.904976
1999-06-29,66.0,68.5,66.0,67.75,629800,57.920182
1999-06-30,68.5,72.25,66.125,72.25,2127600,61.767279
1999-07-01,71.375,71.4375,69.75,70.8125,813600,60.53834499999999
1999-07-02,70.5625,71.1875,69.6875,70.9375,536900,60.645208999999994
1999-07-06,70.0,71.1875,69.25,70.5,747600,60.271186
1999-07-07,69.5625,70.0,68.0,68.0,648800,58.133908999999996
1999-07-08,68.0,68.875,67.1875,67.25,424400,57.492727
1999-07-09,67.4375,68.1875,67.25,67.25,312700,57.492727
1999-07-12,68.0,68.9375,67.875,68.375,547700,58.454501
1999-07-13,68.25,68.6875,67.625,67.875,969600,58.027046
1999-07-14,67.375,67.75,67.3125,67.625,888200,57.813318
1999-07-15,68.0,68.0,67.5,67.9375,864700,58.080478
1999-07-16,67.75,68.75,67.75,68.0625,476700,58.187341
1999-07-19,68.25,70.75,68.25,69.4375,646100,59.362843000000005
1999-07-20,69.125,70.4375,67.875,68.125,886100,58.240773
1999-07-21,68.0,68.0625,67.125,67.875,626100,58.027046
1999-07-22,68.125,68.25,66.5,66.5,579500,56.851544
1999-07-23,66.375,66.375,64.0,64.0625,767200,54.7677
1999-07-26,64.25,64.75,63.1875,63.25,749500,54.073085
1999-07-27,64.25,65.75,63.3125,65.5,592200,55.996632999999996
1999-07-28,65.25,66.375,64.0,66.0625,584800,56.47752
1999-07-29,65.5,65.5,64.5,65.0,646000,55.569178
1999-07-30,65.0,65.0,63.625,64.3125,629600,54.981427000000004
1999-08-02,64.25,64.5625,62.375,62.8125,566400,53.699062
